[01-Sep-2013 20:13:34]  <IllFlower> All parties, launch when ready.
[01-Sep-2013 20:13:56]  <Barcode[YANO_Hitomi]> | omega boost | ready to attack | carry out the mission carefully |
[01-Sep-2013 20:14:31]  <Ayako> launch?  But this is magical girls, not mecha!
[01-Sep-2013 20:14:42]  * Rig plugs in the launch key.
[01-Sep-2013 20:15:36]  <Barcode[YANO_Hitomi]> now i wonder what kinna security features jet fighters have.
[01-Sep-2013 20:15:41]  <IllFlower> Okay, where did we leave off last time...?
[01-Sep-2013 20:15:46]  <Barcode[YANO_Hitomi]> `-`
[01-Sep-2013 20:15:52]  <Rig> It's generally called being surrounded by guys with guns, Barcode[YANO_Hitomi].
[01-Sep-2013 20:15:53]  <Nitya> Barcode[YANO_Hitomi]: being surrounded by a military base
[01-Sep-2013 20:15:57]  <Ayako> IllFlower: we had just turned in Kazuto to whoever, I think
[01-Sep-2013 20:16:02]  * Nitya sliced into pieces, falls to ground
[01-Sep-2013 20:16:15]  <IllFlower> Ah, right, with Kazuto getting the stuffing beat out of him, and the name Kotomi Taniguchi.
[01-Sep-2013 20:16:16]  <Barcode[YANO_Hitomi]> oh yeah, and we were looking for The Lead.
[01-Sep-2013 20:16:19]  <Ayako> Nitya: not true.  sometimes it's surrounded by an aircraft carrier and a shitload of water
[01-Sep-2013 20:17:15]  <IllFlower> I imagine your characters would report in to their familiar at this point, but I just realized that means I'd have to name said familiar.
[01-Sep-2013 20:17:32]  <Barcode[YANO_Hitomi]> Shizuko.
[01-Sep-2013 20:17:47]  <IllFlower> That's an abnormally normal name for a familiar...
[01-Sep-2013 20:17:57]  <Barcode[YANO_Hitomi]> Schwarzbald.
[01-Sep-2013 20:18:12]  <Ayako> isn't "schwarzwald" the name for the black forest
[01-Sep-2013 20:18:35]  <Barcode[YANO_Hitomi]> also that one big o character. anyway it doesn't matter, if you'd prefer to get to the looking for her we can, unless we feel the familiar might have something interesting to say/do?
