[13-Aug-2013 20:26:33]  <IllFlower> Okay, let's get this party started.
[13-Aug-2013 20:26:36]  <Barcode[YANO_Hitomi]> "Get to a place in your life where you're comfortable with the prospect of looking truth in the face."
[13-Aug-2013 20:28:30]  <IllFlower> It's near 6:00 on a weekday, and the streets downtown are choked with pedestrians and cars as people leave work for home.
[13-Aug-2013 20:29:29]  *** Nitya <~Glossina@wl-nat100.it.wsu.edu> has left #madokamadness
[13-Aug-2013 20:30:06]  <Barcode[YANO_Hitomi]> This hits close to home.
[13-Aug-2013 20:30:07]  <IllFlower> One couldn't ask for more perfect conditions to lose pursuers in, and that is in fact what one particularly determined boy is trying to do at this very moment.
[13-Aug-2013 20:30:24]  <Barcode[YANO_Hitomi]> (i /knew/ it was too late to make a comment)
[13-Aug-2013 20:31:23]  <IllFlower> Draped in a light cloak, he weaves in and out of crowds effortlessly as if somehow guided through them, clutching a stolen book to his chest.
[13-Aug-2013 20:34:20]  <IllFlower> This is Kazuto Nishimori, 17, and if there's anything that'll attract the attention of the Conservators, it's theft from the Library of the Ancients.
[13-Aug-2013 20:34:37]  <IllFlower> I'm going to open conflict, unless you guys don't feel particularly motivated to chase some kid down first thing. **
[13-Aug-2013 20:35:13]  <Ayako> 14what level?
[13-Aug-2013 20:35:16]  <Rig> Physical.
[13-Aug-2013 20:35:29]  <Barcode[YANO_Hitomi]> Oh, I thought we were gonna be pointed out in the scene somewhere.
[13-Aug-2013 20:35:37]  <Barcode[YANO_Hitomi]> Yeah, I'm up for a chase.
[13-Aug-2013 20:36:07]  <Rig> +roll 9d6
[13-Aug-2013 20:36:07]  <rollermine> Rig: (1+1+2+1+1+2+2+2+6)=18
[13-Aug-2013 20:36:13]  <Barcode[YANO_Hitomi]> Woudl thsi be a group thing?
[13-Aug-2013 20:36:14]  <Rig> All those 1s and 2s.
[13-Aug-2013 20:36:50]  <IllFlower> Barcode[YANO_Hitomi]: Yes, but you all still roll individually. Bd+Ht.
[13-Aug-2013 20:36:56]  <Barcode[YANO_Hitomi]> Right.
